,Line_Lyrics,NumWords,Normalize_Lyrics
2604,in my dreams,3,dreams
2605,yeah,1,yeah
2606,ahh,1,ahh
2607,yeah,1,yeah
2608,youve been here but youve been missin for some time now,11,youve been here but youve been missin for some time now
2609,yeah yeah,2,yeah yeah
2610,every time i see you its a different vibe now,10,every time see you its different vibe now
2611,yeah oh,2,yeah
2612,i cant help but let you just slip away,9,cant help but let you just slip away
2613,can we get back what we had yesterday ,8,can get back what had yesterday
2614,if i ride with you better know that imma ride for you,12,ride with you better know that imma ride for you
2615,bet id use a gun and knife for you,9,bet use gun and knife for you
2616,i aint finna choose the side over you yeah,9,aint finna choose the side over you yeah
2617,if i ride with you aint nothin to provide for you,11,ride with you aint nothin provide for you
2618,aint nobody in my life like you,7,aint nobody life like you
2619,aint nobody gonna shine like you,6,aint nobody gonna shine like you
2620,show me my love oh god,6,show love god
2621,show me sweet love yeah,5,show sweet love yeah
2622,show me my love oh yeah,6,show love yeah
2623,show me sweet love yeah,5,show sweet love yeah
2624,see show me my love,5,see show love
2625,love whoa whoa whoa,4,love whoa whoa whoa
2626,love whoa whoa whoa,4,love whoa whoa whoa
2627,my team team we on that new ting,8,team team that new ting
2628,my mink draggin like its liu kang,7,mink draggin like its liu kang
2629,my show packed all the dimes there,7,show packed all the dimes there
2630,but i be fallin back from all the loose change,10,but fallin back from all the loose change
2631,i drop the top on that new thing,8,drop the top that new thing
2632,my chocolate broad they rock gucci,6,chocolate broad they rock gucci
2633,gotta know its impossible to stop folarin,7,gotta know its impossible stop folarin
2634,got the box i want the new thing yeah,9,got the box want the new thing yeah
2635,she gon show out show out,6,she gon show out show out
2636,before its wahala roll out roll out mmm yeah,9,before its wahala roll out roll out mmm yeah
2637,she gon show out show out,6,she gon show out show out
2638,before you break it down girl roll out roll out,10,before you break down girl roll out roll out
2639,if i ride with you better know that imma ride for you,12,ride with you better know that imma ride for you
2640,better know that we can live for each other,9,better know that can live for each other
2641,that dont mean i gotta die for you,8,that dont mean gotta die for you
2642,show me my love oh god,6,show love god
2643,show me sweet love yeah,5,show sweet love yeah
2644,show me my love oh yeah,6,show love yeah
2645,show me sweet love yeah,5,show sweet love yeah
2646,see show me my love,5,see show love
2647,love whoa whoa whoa,4,love whoa whoa whoa
2648,love whoa whoa whoa,4,love whoa whoa whoa
2649,uh yeah bring em out bring em out,8,yeah bring out bring out
2650,hard to hear too many girls in the house ayy,10,hard hear too many girls the house ayy
2651,bring em out bring em out,6,bring out bring out
2652,i started here i got the buzz and the clout,10,started here got the buzz and the clout
2653,i know i know she got it all but got nothin to hold,13,know know she got all but got nothin hold
2654,every time i saw her not too many know,9,every time saw her not too many know
2655,she aint really hard she act because she hurt duh,10,she aint really hard she act because she hurt duh
2656,and i can be your last,6,and can your last
2657,leave the past with your first,6,leave the past with your first
2658,show me my love oh god,6,show love god
2659,show me sweet love yeah,5,show sweet love yeah
2660,show me my love oh yeah,6,show love yeah
2661,show me sweet love yeah,5,show sweet love yeah
2662,see show me my love,5,see show love
2663,show me sweet love yeah,5,show sweet love yeah
2664,love whoa whoa whoa,4,love whoa whoa whoa
2665,show me my love,4,show love
2666,show me sweet love yeah,5,show sweet love yeah
2667,love whoa whoa whoa,4,love whoa whoa whoa
2668,its a human sign,4,its human sign
2669,when things go wrong,4,when things wrong
2670,when the scent of her lingers,6,when the scent her lingers
2671,and temptations strong,3,and temptations strong
2672,cold cold heart,3,cold cold heart
2673,hardened by you ,3,hardened you
2674,some things lookin better baby,5,some things lookin better baby
2675,just passin through ,3,just passin through
2676,and i think its gonna be a long long time,10,and think its gonna long long time
2677,til touchdown brings me round again to find,8,til touchdown brings round again find
2678,im not the man they think i am at home,10,not the man they think home
2679,oh no no no,4,
2680,and this is what i should have ever said,9,and this what should have ever said
2681,well i thought it but i kept it in,9,well thought but kept
2682,cold cold heart,3,cold cold heart
2683,hardened by you ,3,hardened you
2684,some things lookin better baby,5,some things lookin better baby
2685,just passin through ,3,just passin through
2686,and i think its gonna be a long long time,10,and think its gonna long long time
2687,til touchdown brings me round again to find,8,til touchdown brings round again find
2688,im not the man they think i am at home,10,not the man they think home
2689,oh no no no ,4,
2690,and this is what i should have ever said,9,and this what should have ever said
2691,well i thought it but i kept it in,9,well thought but kept
2692,cold cold heart ,3,cold cold heart
2693,hardened by you,3,hardened you
2694,some things lookin better baby ,5,some things lookin better baby
2695,just passin through ,3,just passin through
2696,and i think its gonna be a long long time,10,and think its gonna long long time
2697,til touchdown brings me round again to find,8,til touchdown brings round again find
2698,im not the man they think i am at home,10,not the man they think home
2699,oh no no no ,4,
2700,and this is what i should have ever said ,9,and this what should have ever said
2701,well i thought it but i kept it in ,9,well thought but kept
2702,shoorah ,1,shoorah
2703,shoorah,1,shoorah
2704,shoorah ,1,shoorah
2705,shoorah,1,shoorah
2706,one look was enough enough for me,7,one look was enough enough for
2707,the whole room stops,4,the whole room stops
2708,and its not me to be one to be one,10,and its not one one
2709,one of many,3,one many
2710,cause its a hundred others speaking,6,cause its hundred others speaking
2711,ive been tryna make a step,6,ive been tryna make step
2712,a hundred others speaking,4,hundred others speaking
2713,i cant make you understand,5,cant make you understand
2714,theres only one out here for ya one out here for ya,12,theres only one out here for one out here for
2715,ill be the first to say baby whats your name ,10,ill the first say baby whats your name
2716,cause i want ya that kind of woman,8,cause want that kind woman
2717,hard to pretend now i cant sit still let me show ya,12,hard pretend now cant sit still let show
2718,that kind of woman ,4,that kind woman
2719,hard to pretend now i cant sit still any longer,10,hard pretend now cant sit still any longer
2720,that kind of woman,4,that kind woman
2721,ill pick you from the crowd,6,ill pick you from the crowd
2722,dont come to me,4,dont come
2723,i want you to myself,5,want you myself
2724,no i wont be wont be one,7,wont wont one
2725,wont be one one of many,6,wont one one many
2726,cause its a hundred others speaking,6,cause its hundred others speaking
2727,ive been tryna make a step,6,ive been tryna make step
2728,a hundred others speaking,4,hundred others speaking
2729,i cant make you understand,5,cant make you understand
2730,theres only one out here for ya one out here for ya,12,theres only one out here for one out here for
2731,ill be the first to say baby whats your name ,10,ill the first say baby whats your name
2732,cause i want ya that kind of woman,8,cause want that kind woman
2733,hard to pretend now i cant sit still let me show ya,12,hard pretend now cant sit still let show
2734,that kind of woman ,4,that kind woman
2735,hard to pretend now i cant sit still any longer,10,hard pretend now cant sit still any longer
2736,that kind of woman,4,that kind woman
2737, keep you close next to me i wont let you go,11,keep you close next wont let you
2738, reminisce that you once met a girl like this,9,reminisce that you once met girl like this
2739,the first to say baby whats your name ,8,the first say baby whats your name
2740,cause i want ya ,4,cause want
2741,ill be the first to say baby whats your name ,10,ill the first say baby whats your name
2742,cause i want ya that kind of woman ,8,cause want that kind woman
2743,hard to pretend now i cant sit still any longer,10,hard pretend now cant sit still any longer
2744,that kind of woman,4,that kind woman
2745,you and me we made a vow,7,you and made vow
2746,for better or for worse,5,for better for worse
2747,i cant believe you let me down,7,cant believe you let down
2748,but the truths in the way it hurts,8,but the truths the way hurts
2749,for months on end ive had my doubts,8,for months end ive had doubts
2750,denying every tear,3,denying every tear
2751,i wish this would be over now,7,wish this would over now
2752,but i know that i still need you here,9,but know that still need you here
2753,you say im crazy,4,you say crazy
2754,cause you dont think i know what youve done,9,cause you dont think know what youve done
2755,but when you call me baby,6,but when you call baby
2756,i know im not the only one,7,know not the only one
2757,youve been so unavailable,4,youve been unavailable
2758,and sadly i know why,5,and sadly know why
2759,your heart is unattainable,4,your heart unattainable
2760,even though lord knows you kept mine,7,even though lord knows you kept mine
2761,you say im crazy,4,you say crazy
2762,cause you dont think i know what youve done,9,cause you dont think know what youve done
2763,but when you call me baby,6,but when you call baby
2764,i know im not the only one,7,know not the only one
2765,i have loved you for many years,7,have loved you for many years
2766,maybe i am just not enough,6,maybe just not enough
2767,youve made me realise my deepest fear,7,youve made realise deepest fear
2768,by lying and tearing us up,6,lying and tearing
2769,you say im crazy,4,you say crazy
2770,cause you dont think i know what youve done,9,cause you dont think know what youve done
2771,but when you call me baby,6,but when you call baby
2772,i know im not the only one,7,know not the only one
2773,and i know and i know and i know and i know and i know,15,and know and know and know and know and know
2774,i know im not the only one,7,know not the only one
2775,i know im not the only one,7,know not the only one
2776,i know im not the only one,7,know not the only one
2777,i im a one way motorway,6,one way motorway
2778,im the one that drives away then follows you back home,11,the one that drives away then follows you back home
2779,and i im a street light shinin,7,and street light shinin
2780,im a wild light blinding bright burning off alone oh oh oh,12,wild light blinding bright burning off alone
2781,its times like these you learn to live again,9,its times like these you learn live again
2782,its times like these we give and give again,9,its times like these give and give again
2783,its times like these you learn to love again,9,its times like these you learn love again
2784,its times like these time and time again oh oh oh,11,its times like these time and time again
2785,i im a new day rising,6,new day rising
2786,im a brand new sky to hang the stars upon tonight,11,brand new sky hang the stars upon tonight
2787,i i am a little divided,6,little divided
2788,do i stay or run away and leave it all behind ,11,stay run away and leave all behind
2789,i know,2,know
2790,its times like these you learn to live again,9,its times like these you learn live again
2791,its times like these you give and give again,9,its times like these you give and give again
2792,its times like these you learn to love again,9,its times like these you learn love again
2793,its times like these time and time again ,8,its times like these time and time again
2794,lets go its times like these that we activate,9,lets its times like these that activate
2795,do something to improve dont procrastinate ,6,something improve dont procrastinate
2796,i been cooking now make a wicked pasta plate,9,been cooking now make wicked pasta plate
2797,stream games at 11 but i clap at eight ,9,stream games but clap eight
2798,and ill drink on facetime if you tempt me,9,and ill drink facetime you tempt
2799,time to pay back all the health docs lent me ,10,time pay back all the health docs lent
2800,and for me west 10s elementary,6,and for west 10s elementary
2801,but right now i wanna see ladbroke grove empty you get me ,12,but right now wanna see ladbroke grove empty you get
2802,we make it better together well make a better life,10,make better together well make better life
2803,because the pressure is ever upon us every night,9,because the pressure ever upon every night
2804,and everyday so we pray and we will forever fight,10,and everyday pray and will forever fight
2805,well make it better together well make a better life,10,well make better together well make better life
2806,i im a one way motorway,6,one way motorway
2807,im the one that drives away then follows you back home mm mm hm,14,the one that drives away then follows you back home
2808,i im a street light shining ,6,street light shining
2809,im a wild light blinding bright burnin off alone,9,wild light blinding bright burnin off alone
2810,its times like these you learn to live again,9,its times like these you learn live again
2811,its times like these you give and give again,9,its times like these you give and give again
2812,its times like these you learn to love again,9,its times like these you learn love again
2813,its times like these time and time again,8,its times like these time and time again
2814,its times like these you learn to live again,9,its times like these you learn live again
2815,its times like these you learn to love again,9,its times like these you learn love again
2816,woohoo,1,woohoo
2817,if you wanna run away with me i know a galaxy,11,you wanna run away with know galaxy
2818,and i can take you for a ride ,8,and can take you for ride
2819,i had a premonition that we fell into a rhythm,10,had premonition that fell into rhythm
2820,where the music dont stop for life ,7,where the music dont stop for life
2821,glitter in the sky glitter in my eyes,8,glitter the sky glitter eyes
2822,shining just the way i like ,6,shining just the way like
2823,if youre feeling like you need a little bit of company,11,youre feeling like you need little bit company
2824,you met me at the perfect time,7,you met the perfect time
2825,you want me i want you baby,7,you want want you baby
2826,my sugarboo im levitating,4,sugarboo levitating
2827,the milky way is liberating,5,the milky way liberating
2828,yeah yeah yeah,3,yeah yeah yeah
2829,i got you moonlight youre my starlight,7,got you moonlight youre starlight
2830,i need you all night come on dance with me,10,need you all night come dance with
2831,i got you moonlight youre my starlight ,7,got you moonlight youre starlight
2832,i need you all night come on dance with me ,10,need you all night come dance with
2833,i believe that youre for me i feel it in our energy,12,believe that youre for feel our energy
2834,i see it written in the stars,7,see written the stars
2835,we can go wherever so lets do it now or never,11,can wherever lets now never
2836,baby nothings ever ever too far,6,baby nothings ever ever too far
2837,glitter in the sky glitter in our eyes,8,glitter the sky glitter our eyes
2838,shining just the way we are,6,shining just the way are
2839,i feel like were forever every time we get together,10,feel like were forever every time get together
2840,no were never gonna be apart,6,were never gonna apart
2841,you want me i want you baby,7,you want want you baby
2842,my sugarboo im levitating,4,sugarboo levitating
2843,the milky way is liberating,5,the milky way liberating
2844,yeah yeah yeah,3,yeah yeah yeah
2845,i got you moonlight youre my starlight,7,got you moonlight youre starlight
2846,i need you all night come on dance with me ,10,need you all night come dance with
2847,i got you moonlight youre my starlight ,7,got you moonlight youre starlight
2848,i need you all night come on dance with me ,10,need you all night come dance with
2849,you can fly away with me tonight,7,you can fly away with tonight
2850,you can fly away with me tonight,7,you can fly away with tonight
2851,baby let me take you for a ride ,8,baby let take you for ride
2852,you can fly away with me tonight,7,you can fly away with tonight
2853,you can fly away with me tonight,7,you can fly away with tonight
2854,baby let me take you for a ride ,8,baby let take you for ride
2855,lets go ,2,lets
2856,boy im advanced got my real tight pants,8,boy advanced got real tight pants
2857,when i back it up i put you in a trance ,11,when back put you trance
2858,if you wanna dance then show me all your bands,10,you wanna dance then show all your bands
2859,cause tonight i might give you a chance,8,cause tonight might give you chance
2860, pull up in the coupe,5,pull the coupe
2861,ooh that dude he look hella cute,7,ooh that dude look hella cute
2862,yeah he lookin at me like ooh,7,yeah lookin like ooh
2863,suck my breasts like betty boop ,6,suck breasts like betty boop
2864,oh my my my ,4,
2865,get to stuttering like i i i ,7,get stuttering like
2866,im a freak i like to play shy,8,freak like play shy
2867,but i will get it poppin anything ill try it,10,but will get poppin anything ill try
2868,say im on his top five list,7,say his top five list
2869,on a major key like khaled,6,major key like khaled
2870,dont speak open up your eyelids,6,dont speak open your eyelids
2871,i can be your girl if you keep it private,10,can your girl you keep private
2872,you want me i want you baby,7,you want want you baby
2873,my sugarboo im levitating,4,sugarboo levitating
2874,the milky way is liberating,5,the milky way liberating
2875,yeah yeah yeah,3,yeah yeah yeah
2876,i got you moonlight youre my starlight,7,got you moonlight youre starlight
2877,i need you all night come on dance with me,10,need you all night come dance with
2878,you can fly away with me tonight,7,you can fly away with tonight
2879,you can fly away with me tonight,7,you can fly away with tonight
2880,baby let me take you for a ride,8,baby let take you for ride
2881,you can fly away with me tonight,7,you can fly away with tonight
2882,you can fly away with me tonight,7,you can fly away with tonight
2883,baby let me take you for a ride,8,baby let take you for ride
2884,i got you moonlight youre my starlight ,7,got you moonlight youre starlight
2885,i need you all night come on dance with me ,10,need you all night come dance with
2886,i got you moonlight youre my starlight ,7,got you moonlight youre starlight
2887,i need you all night come on dance with me,10,need you all night come dance with
2888,im levitating,2,levitating
2889,woohoo,1,woohoo
2890,im levitating ,2,levitating
2891,come on come on come on dance with me,9,come come come dance with
2892,im levitating,2,levitating
2893,im levitating ,2,levitating
2894,come on come on come on dance with me,9,come come come dance with
2895,im levitating,2,levitating
2896,i bet were higher than the people on cloud 9,10,bet were higher than the people cloud
2897,this connection got me feeling like ive known you my whole life wow,13,this connection got feeling like ive known you whole life wow
2898,even our shadows know each other in the light,9,even our shadows know each other the light
2899,so why do i think of losing you when youre right by my side uh,15,why think losing you when youre right side
2900,im not really thinking clear,5,not really thinking clear
2901,too good to be true and thats what i fear,10,too good true and thats what fear
2902,like what if you left me here,7,like what you left here
2903,and i fill the floor with my sequin tears ,9,and fill the floor with sequin tears
2904,i start getting in my brain,6,start getting brain
2905,something i do that i cant explain,7,something that cant explain
2906,wicked loves creepin up,4,wicked loves creepin
2907,so baby dont you let go ,6,baby dont you let
2908,the thought of you with someone kills me,8,the thought you with someone kills
2909,ill be dancing with my heart broke,7,ill dancing with heart broke
2910,such a sad disco if it aint me,8,such sad disco aint
2911,and baby if you ever ,5,and baby you ever
2912,find another lover youll see,5,find another lover youll see
2913,ill be dancing with my heart broke,7,ill dancing with heart broke
2914,such a sad disco if it aint me,8,such sad disco aint
2915,i got a little devil dancing in my mind,9,got little devil dancing mind
2916,playing tricks on my imagination ruining my night wow,9,playing tricks imagination ruining night wow
2917,i try to shake it off by looking in your eyes,11,try shake off looking your eyes
2918,all the voices in my head keep tryna tell me its goodbye uh,13,all the voices head keep tryna tell its goodbye
2919,im not really thinking clear,5,not really thinking clear
2920,too good to be true and thats what i fear,10,too good true and thats what fear
2921,like what if you left me here,7,like what you left here
2922,and i fill the floor with my sequin tears ,9,and fill the floor with sequin tears
2923,i start getting in my brain,6,start getting brain
2924,something i do that i cant explain,7,something that cant explain
2925,wicked loves creepin up,4,wicked loves creepin
2926,so baby dont you let go ,6,baby dont you let
2927,the thought of you with someone kills me,8,the thought you with someone kills
2928,ill be dancing with my heart broke,7,ill dancing with heart broke
2929,such a sad disco if it aint me,8,such sad disco aint
2930,and baby if you ever ,5,and baby you ever
2931,find another lover youll see,5,find another lover youll see
2932,ill be dancing with my heart broke,7,ill dancing with heart broke
2933,such a sad disco if it aint me,8,such sad disco aint
2934,im not really thinking clear,5,not really thinking clear
2935,too good to be true and thats what i fear,10,too good true and thats what fear
2936,like what if you left me here,7,like what you left here
2937,like what if you left me here,7,like what you left here
2938,and i fill the floor with my sequin tears ,9,and fill the floor with sequin tears
2939,so baby dont you let go ,6,baby dont you let
2940,the thought of you with someone kills me,8,the thought you with someone kills
2941,ill be dancing with my heart broke,7,ill dancing with heart broke
2942,such a sad disco if it aint me,8,such sad disco aint
2943,and baby if you ever ,5,and baby you ever
2944,find another lover youll see,5,find another lover youll see
2945,ill be dancing with my heart broke,7,ill dancing with heart broke
2946,such a sad disco if it aint me,8,such sad disco aint
2947,boom boom boom,3,boom boom boom
2948,beats my heart heart heart,5,beats heart heart heart
2949,baby boom boom boom,4,baby boom boom boom
2950,in the dark dark dark,5,the dark dark dark
2951,baby boom boom boom,4,baby boom boom boom
2952,fall apart part part,4,fall apart part part
2953,baby boom boom boom,4,baby boom boom boom
2954,from the start start start,5,from the start start start
2955,but ive been waiting for you,6,but ive been waiting for you
2956,ive been waiting for you,5,ive been waiting for you
2957,ive been waiting for you,5,ive been waiting for you
2958,ive been waiting for you,5,ive been waiting for you
2959,ive been waiting for you,5,ive been waiting for you
2960,ive been waiting for you,5,ive been waiting for you
2961,ive been waiting for you,5,ive been waiting for you
2962,yeah ive been waiting for you,6,yeah ive been waiting for you
2963,well someone must have sent you here to save my life,11,well someone must have sent you here save life
2964,someone must have sent you to save me tonight,9,someone must have sent you save tonight
2965,i know that in darkness i have found my light,10,know that darkness have found light
2966,i know that in darkness ive been given sight,9,know that darkness ive been given sight
2967,in your loving arms i feel delight,7,your loving arms feel delight
2968,in your loving arms ill be alright,7,your loving arms ill alright
2969,someone must have sent you to save me tonight,9,someone must have sent you save tonight
2970,someone must have sent you here to save my life,10,someone must have sent you here save life
2971,save my life save my life,6,save life save life
2972,save my life save my life,6,save life save life
2973,save my life save my life,6,save life save life
2974,save my life save my life,6,save life save life
2975,high high high,3,high high high
2976,we take flight flight flight,5,take flight flight flight
2977,baby high high high,4,baby high high high
2978,touch the sky sky sky,5,touch the sky sky sky
2979,baby high high high,4,baby high high high
2980,diamond nights nights nights,4,diamond nights nights nights
2981,baby high high high,4,baby high high high
2982,cause love dont lie lie lie,6,cause love dont lie lie lie
2983,ive been waiting for you,5,ive been waiting for you
2984,ive been waiting for you,5,ive been waiting for you
2985,ive been waiting for you,5,ive been waiting for you
2986,ive been waiting for you,5,ive been waiting for you
2987,ive been waiting for you,5,ive been waiting for you
2988,ive been waiting for you,5,ive been waiting for you
2989,ive been waiting for you,5,ive been waiting for you
2990,ive been waiting for you,5,ive been waiting for you
2991,well someone must have sent you here to save my life ,11,well someone must have sent you here save life
2992,someone must have sent you to save me tonight ,9,someone must have sent you save tonight
2993,i know that in darkness i have found my light ,10,know that darkness have found light
2994,i know that in darkness ive been given sight ,9,know that darkness ive been given sight
2995,in your loving arms i feel delight ,7,your loving arms feel delight
2996,in your loving arms ill be alright ,7,your loving arms ill alright
2997,someone must have sent you to save me tonight ,9,someone must have sent you save tonight
2998,someone must have sent you here to save my life,10,someone must have sent you here save life
2999,save my life save my life,6,save life save life
3000,save my life save my life,6,save life save life
3001,save my life save my life,6,save life save life
3002,save my life save my life,6,save life save life
3003,save my life save my life,6,save life save life
3004,save my life save my life ,6,save life save life
3005,save my life save my life,6,save life save life
3006,save my life you saved my life,7,save life you saved life
3007,something told me it was over,6,something told was over
3008,when i saw you and her talking,7,when saw you and her talking
3009,something deep down in my soul said cry girl,9,something deep down soul said cry girl
3010,when i saw you and that girl walking out,9,when saw you and that girl walking out
3011,ooh,1,ooh
3012,i would rather i would rather go blind boy,9,would rather would rather blind boy
3013,than to see you walk away from me child and all,11,than see you walk away from child and all
3014,i was just i was just,6,was just was just
3015,i was just sitting here thinking,6,was just sitting here thinking
3016,of your kiss and your warm embrace,7,your kiss and your warm embrace
3017,when the reflection in the glass that i held to my lips now baby,14,when the reflection the glass that held lips now baby
3018,revealed these tears that are on my face yeah,9,revealed these tears that are face yeah
3019,and baby and baby id rather be blind boy,9,and baby and baby rather blind boy
3020,than to see you walk away walk away from me yeah,11,than see you walk away walk away from yeah
3021,and baby and baby id rather be blind now,9,and baby and baby rather blind now
3022,than to see you walk away from me,8,than see you walk away from
3023,something told me it was over,6,something told was over
3024,when i saw you and her talking,7,when saw you and her talking
3025,we doin good,3,doin good
3026,we doin good,3,doin good
3027,thats your problem,3,thats your problem
3028,pulling me down like an anchor,6,pulling down like anchor
3029,sayin its my fault youre angered,6,sayin its fault youre angered
3030,telling me no one will love me ,7,telling one will love
3031,telling me im gon be lonely,6,telling gon lonely
3032,you and me on for a good run,8,you and for good run
3033,thinking that you were a good one,7,thinking that you were good one
3034,under your palm yeah you like that ,7,under your palm yeah you like that
3035,now its my turn to bite back ,7,now its turn bite back
3036,ooh did it to yourself ,5,ooh did yourself
3037,playing with my mind ,4,playing with mind
3038,putting me through hell ,4,putting through hell
3039,ooh id be broken too ,5,ooh broken too
3040,if you left me like like i left you,9,you left like like left you
3041,thats your problem,3,thats your problem
3042,not my problem not my problem,6,not problem not problem
3043,call it what you want but youre not my problem,10,call what you want but youre not problem
3044,cryin all the time but youre not my problem,9,cryin all the time but youre not problem
3045,if you got issues ,4,you got issues
3046,not my problem not my problem,6,not problem not problem
3047,call it what you want but youre not my problem,10,call what you want but youre not problem
3048,cryin all the time but youre not my problem,9,cryin all the time but youre not problem
3049,if you got issues ,4,you got issues
3050,doin it all for reaction,5,doin all for reaction
3051,doing the most in your caption,6,doing the most your caption
3052,making me seem like the bad guy ,7,making seem like the bad guy
3053,try to bring me down but nice try,8,try bring down but nice try
3054,i used to like you,5,used like you
3055,how did i like you ,5,how did like you
3056,i used to like you,5,used like you
3057,and now i dont ,4,and now dont
3058,ooh id be broken too ,5,ooh broken too
3059,if you left me like like i left you,9,you left like like left you
3060,thats your problem,3,thats your problem
3061,not my problem not my problem,6,not problem not problem
3062,call it what you want but youre not my problem,10,call what you want but youre not problem
3063,cryin all the time but youre not my problem,9,cryin all the time but youre not problem
3064,if you got issues ,4,you got issues
3065,not my problem not my problem,6,not problem not problem
3066,call it what you want but youre not my problem,10,call what you want but youre not problem
3067,cryin all the time but youre not my problem,9,cryin all the time but youre not problem
3068,if you got issues ,4,you got issues
3069,i thought i liked you i thought you was cool,10,thought liked you thought you was cool
3070,but im a thot when i be drinking dont be thinking shit through,13,but thot when drinking dont thinking shit through
3071,nevertheless you got the clue and now you blue,9,nevertheless you got the clue and now you blue
3072,cause i aint speaking to you,6,cause aint speaking you
3073,aww booboo youll be cool,5,aww booboo youll cool
3074,dont boo hoo boo whats the issue ,7,dont boo hoo boo whats the issue
3075,gggs listening this bd she trippin,6,gggs listening this she trippin
3076,im dippin im dippin im done with it,8,dippin dippin done with
3077,im stupid im dumb come with it,7,stupid dumb come with
3078,i heard em all ima call you one name,9,heard all ima call you one name
3079,not my problem not my problem,6,not problem not problem
3080,call it what you want but youre not my problem,10,call what you want but youre not problem
3081,cryin all the time but youre not my problem,9,cryin all the time but youre not problem
3082,if you got issues ,4,you got issues
3083,not my problem not my problem,6,not problem not problem
3084,call it what you want but youre not my problem,10,call what you want but youre not problem
3085,cryin all the time but youre not my problem,9,cryin all the time but youre not problem
3086,if you got issues,4,you got issues
3087,you call me all friendly,5,you call all friendly
3088,tellin me how much you miss me,7,tellin how much you miss
3089,thats funny i guess youve heard my songs,8,thats funny guess youve heard songs
3090,well im too busy for your business,7,well too busy for your business
3091,go find a girl who wants to listen,8,find girl who wants listen
3092,cause if you think i was born yesterday you have got me wrong,13,cause you think was born yesterday you have got wrong
3093,so i cut you off,5,cut you off
3094,i dont need your love,5,dont need your love
3095,cause i already cried enough,5,cause already cried enough
3096,ive been done,3,ive been done
3097,ive been movin on since we said goodbye,8,ive been movin since said goodbye
3098,i cut you off,4,cut you off
3099,i dont need your love,5,dont need your love
3100,so you can try all you want,7,you can try all you want
3101,your time is up ill tell you why,8,your time ill tell you why
3102,you say youre sorry but its too late now,9,you say youre sorry but its too late now
3103,so save it get gone shut up,7,save get gone shut
3104,cause if you think i care about you now,9,cause you think care about you now
3105,well boy i dont give a fuck ,7,well boy dont give fuck
3106,well boy i dont give a ,6,well boy dont give
3107,yeah,1,yeah
3108,talk every day like we best friends,7,talk every day like best friends
3109,every time we out on a date were engaged,9,every time out date were engaged
3110,i can smell the love in the air its a fragrance,11,can smell the love the air its fragrance
3111,if the restaurant aint open we gon make it,9,the restaurant aint open gon make
3112,acting nonchalant but i see through it so clear,9,acting nonchalant but see through clear
3113,told her what the hell you gon do when im not here ,12,told her what the hell you gon when not here
3114,yeah we having fun but baby we aint 14,9,yeah having fun but baby aint
3115,know that this will probably fuck me up when i walked in,12,know that this will probably fuck when walked
3116,talkin bout a story like we dont got problems,9,talkin bout story like dont got problems
3117,but i know it too well could you just be honest ,11,but know too well could you just honest
3118,wishing this a fairytale i told her,7,wishing this fairytale told her
3119,was here having good times but it aint the right time,11,was here having good times but aint the right time
3120,and now i dont want to lose this shit we got goin on,13,and now dont want lose this shit got goin
3121,i say we keep on it and whats next,9,say keep and whats next
3122,i dont give a fuck,5,dont give fuck
3123,you say youre sorry but its too late now,9,you say youre sorry but its too late now
3124,so save it get gone shut up,7,save get gone shut
3125,cause if you think i care about you now,9,cause you think care about you now
3126,well boy i dont give a fuck ,7,well boy dont give fuck
3127,well boy i dont give a ,6,well boy dont give
3128,i see you tryna get to me,7,see you tryna get
3129,i see you beggin on your knees,7,see you beggin your knees
3130,boy i dont give a fuck,6,boy dont give fuck
3131,so stop tryna get to me,6,stop tryna get
3132,tch get up off your knees,6,tch get off your knees
3133,cause boy i dont give a fuck,7,cause boy dont give fuck
3134,you you turn gold to dust now,7,you you turn gold dust now
3135,what was trust is lost now,6,what was trust lost now
3136,what is all this darkness you have inside ,8,what all this darkness you have inside
3137,i just cant ignore it,5,just cant ignore
3138,from my heart whats pouring,5,from heart whats pouring
3139,cause this hurt i can no longer hide,8,cause this hurt can longer hide
3140,baby its the last time,5,baby its the last time
3141,its the last time im bout it bout it,9,its the last time bout bout
3142,check it with a flashlight,5,check with flashlight
3143,its the last night youll get up on it,9,its the last night youll get
3144,if you wanna save it ooh,6,you wanna save ooh
3145,better shoot straight like a laser ooh,7,better shoot straight like laser ooh
3146,i aint waiting for you you,6,aint waiting for you you
3147,now im running for my life,6,now running for life
3148,been too many miles,4,been too many miles
3149,tryna find the road to you,6,tryna find the road you
3150,cause you you just wanna drive,6,cause you you just wanna drive
3151,with no place in mind,5,with place mind
3152,where the hell we going to oh ,7,where the hell going
3153,im running running,3,running running
3154,got me running running ooh,5,got running running ooh
3155,im running running,3,running running
3156,got me running running ooh,5,got running running ooh
3157,boom barrel love a gun pow,6,boom barrel love gun pow
3158,ill be on the run now,6,ill the run now
3159,cant take no more bullets through my wounds,8,cant take more bullets through wounds
3160,i just cant ignore it,5,just cant ignore
3161,from my heart whats pouring,5,from heart whats pouring
3162,cause this hurt i can no longer hide,8,cause this hurt can longer hide
3163,baby its the last time,5,baby its the last time
3164,its the last time im bout it bout it,9,its the last time bout bout
3165,check it with a flashlight,5,check with flashlight
3166,its the last night youll get up on it,9,its the last night youll get
3167,if you wanna save it ooh,6,you wanna save ooh
3168,better shoot straight like a laser ooh,7,better shoot straight like laser ooh
3169,i aint waiting for you you,6,aint waiting for you you
